task_name,method,seed,num_episodes,beta,policy_value,behavior_value,optimal_value,suboptimality_gap,root_action,root_action_count,expected_chosen_count,low_support_mass
branching_mdp,pessimistic,19,20,0.8,0.9,0.78373,0.9,0.0,0,16.0,42.0,0.0
branching_mdp,greedy,20,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,52.0,0.0
branching_mdp,pessimistic,20,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,52.0,0.0
branching_mdp,greedy,21,20,0.8,0.55,0.78373,0.9,0.35,1,1.0,2.0,3.0
branching_mdp,pessimistic,21,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,55.0,0.0
branching_mdp,greedy,22,20,0.8,0.55,0.78373,0.9,0.35,1,1.0,5.0,2.0
branching_mdp,pessimistic,22,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,52.0,0.0
branching_mdp,greedy,23,20,0.8,0.55,0.78373,0.9,0.35,1,2.0,6.0,1.0
branching_mdp,pessimistic,23,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,50.0,0.0
branching_mdp,greedy,24,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,58.0,0.0
branching_mdp,pessimistic,24,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,58.0,0.0
branching_mdp,greedy,25,20,0.8,0.55,0.78373,0.9,0.35,1,2.0,5.0,1.0
branching_mdp,pessimistic,25,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,53.0,0.0
branching_mdp,greedy,26,20,0.8,0.55,0.78373,0.9,0.35,1,2.0,7.0,0.0
branching_mdp,pessimistic,26,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,48.0,0.0
branching_mdp,greedy,27,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,47.0,0.0
branching_mdp,pessimistic,27,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,47.0,0.0
branching_mdp,greedy,28,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,46.0,0.0
branching_mdp,pessimistic,28,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,46.0,0.0
branching_mdp,greedy,29,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,52.0,0.0
branching_mdp,pessimistic,29,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,52.0,0.0
branching_mdp,greedy,30,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,54.0,0.0
branching_mdp,pessimistic,30,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,54.0,0.0
branching_mdp,greedy,31,20,0.8,0.55,0.78373,0.9,0.35,1,4.0,13.0,0.0
branching_mdp,pessimistic,31,20,0.8,0.9,0.78373,0.9,0.0,0,16.0,44.0,0.0
branching_mdp,greedy,32,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,50.0,0.0
branching_mdp,pessimistic,32,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,50.0,0.0
branching_mdp,greedy,33,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,54.0,0.0
branching_mdp,pessimistic,33,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,54.0,0.0
branching_mdp,greedy,34,20,0.8,0.55,0.78373,0.9,0.35,1,2.0,5.0,1.0
branching_mdp,pessimistic,34,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,54.0,0.0
branching_mdp,greedy,35,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,54.0,0.0
branching_mdp,pessimistic,35,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,54.0,0.0
branching_mdp,greedy,36,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,57.0,0.0
branching_mdp,pessimistic,36,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,57.0,0.0
branching_mdp,greedy,37,20,0.8,0.55,0.78373,0.9,0.35,1,1.0,3.0,3.0
branching_mdp,pessimistic,37,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,56.0,0.0
branching_mdp,greedy,38,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,51.0,0.0
branching_mdp,pessimistic,38,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,51.0,0.0
branching_mdp,greedy,39,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,54.0,0.0
branching_mdp,pessimistic,39,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,54.0,0.0
branching_mdp,greedy,40,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,53.0,0.0
branching_mdp,pessimistic,40,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,53.0,0.0
branching_mdp,greedy,41,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,48.0,0.0
branching_mdp,pessimistic,41,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,48.0,0.0
branching_mdp,greedy,42,20,0.8,0.55,0.78373,0.9,0.35,1,2.0,7.0,1.0
branching_mdp,pessimistic,42,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,49.0,0.0
branching_mdp,greedy,43,20,0.8,0.15000000000000002,0.78373,0.9,0.75,1,3.0,8.0,1.0
branching_mdp,pessimistic,43,20,0.8,0.9,0.78373,0.9,0.0,0,17.0,45.0,0.0
branching_mdp,greedy,44,20,0.8,0.55,0.78373,0.9,0.35,1,1.0,4.0,2.0
branching_mdp,pessimistic,44,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,51.0,0.0
branching_mdp,greedy,45,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,53.0,0.0
branching_mdp,pessimistic,45,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,53.0,0.0
branching_mdp,greedy,46,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,49.0,0.0
branching_mdp,pessimistic,46,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,49.0,0.0
branching_mdp,greedy,47,20,0.8,0.55,0.78373,0.9,0.35,1,1.0,4.0,2.0
branching_mdp,pessimistic,47,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,51.0,0.0
branching_mdp,greedy,48,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,54.0,0.0
branching_mdp,pessimistic,48,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,54.0,0.0
branching_mdp,greedy,49,20,0.8,0.55,0.78373,0.9,0.35,1,1.0,7.0,2.0
branching_mdp,pessimistic,49,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,46.0,0.0
branching_mdp,greedy,50,20,0.8,0.9,0.78373,0.9,0.0,0,17.0,47.0,0.0
branching_mdp,pessimistic,50,20,0.8,0.9,0.78373,0.9,0.0,0,17.0,47.0,0.0
branching_mdp,greedy,51,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,54.0,0.0
branching_mdp,pessimistic,51,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,54.0,0.0
branching_mdp,greedy,52,20,0.8,0.9,0.78373,0.9,0.0,0,17.0,45.0,0.0
branching_mdp,pessimistic,52,20,0.8,0.9,0.78373,0.9,0.0,0,17.0,45.0,0.0
branching_mdp,greedy,53,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,57.0,0.0
